x,y
1.3159937689593413,C
0.3019623230160765,A
0.45036980732411436,B
1.9927659175674626,D
1.6498534385597754,D
1.0837961444745354,B
1.1610454102553196,C
0.18025349376076563,B
1.0634485261721918,D
0.5489654702920446,B
1.4793828147332153,D
0.44078989067796726,B
1.5418829039500326,D
0.2388409689117974,A
0.9584491664119997,B
0.7542213250469426,A
0.5935982492893545,A
0.7223440107951521,A
1.8534924448552355,C
1.2097902635884767,C
0.625299801044216,A
0.8467878105817636,B
1.0354233033155773,B
0.4379416352929748,B
0.00398914604670686,A
0.6223124476815942,A
0.10278171356251586,A
1.3117342416509707,C
0.39192341493790317,A
1.0504387111144056,D
0.5743679147229356,A
1.6560388388858605,C
1.7019462201124869,C
1.0841042185499838,B
1.551889373105218,C
1.5552081953983108,C
0.17922385207775796,B
0.8278858805533099,B
0.7137438048879882,A
0.30193814779516703,B
0.5572600365283243,A
0.16350377299167565,B
1.3725159767602548,C
2.0104747547599082,C
0.019776882146322672,A
0.8027034913926101,B
0.3154054976722911,B
0.9117034191874744,A
0.08939741691888581,A
0.48390036700187344,B
0.3234320711340749,A
1.921198471953974,C
0.46438949258544115,A
0.6653417658426198,A
0.06692542649534505,A
2.039465426030821,C
0.6737003181566632,A
1.9650478833601586,C
0.059935435660170566,A
1.3873105971972435,D
1.4114866374962904,C
1.0002784583787527,B
0.8349250876518268,B
1.6104537594846569,D
1.3356885816166169,C
0.7532640187886335,A
1.6987198254273945,C
1.0465569940548474,B
1.7850944323171238,C
1.015676796480003,B
1.7212214645691748,D
1.1614641640567678,D
1.490259555308236,C
1.3501479681226254,C
2.0918283260963193,C
0.17742848209427542,A
1.3312473594646839,C
0.29869264536309514,B
0.39166109729894605,A
0.6659810138594342,A
1.7550220706788526,D
0.5735800355999688,A
1.407058949470723,C
1.505800257460657,C
0.27568264942463383,B
1.0918808149940378,D
0.3059577060936657,B
0.8366301899992981,B
0.2944629012554848,B
1.467173343581414,C
1.0109213274586224,B
0.15717068278750967,A
1.2929791052587631,D
1.2721376985005217,C
0.5892959507552221,A
1.571780382889783,C
0.8591958302670496,B
0.5216360385730031,B
1.267304879200501,D
0.972397623364193,A
